id,keyword,normalized_keyword,variant_type,candidate_type,source_type,status,entity_name,entity_source_type,entity_review_status,score,confidence,trademark_risk,verification_status,ad_copy_allowed,landing_page_allowed,created_at
11,experian information solutions phone number,experian information solutions phone number,phone_number,phone_number,cfpb_complaint,approved_seed,Experian Information Solutions Inc.,cfpb_complaint,approved_seed,85.0,0.85,unknown,needs_review,0,1,2026-06-11T00:20:04Z
8,experian information solutions reviews,experian information solutions reviews,reviews,reviews,cfpb_complaint,approved_seed,Experian Information Solutions Inc.,cfpb_complaint,approved_seed,85.0,0.85,unknown,needs_review,0,1,2026-06-11T00:20:04Z
241,loancare,loancare,brand,brand,cfpb_complaint,approved_seed,"LoanCare, LLC",cfpb_complaint,approved_seed,85.0,0.85,unknown,needs_review,0,1,2026-06-11T00:20:04Z
246,loancare alternative,loancare alternative,alternative,alternative,cfpb_complaint,approved_seed,"LoanCare, LLC",cfpb_complaint,approved_seed,85.0,0.85,unknown,needs_review,0,1,2026-06-11T00:20:04Z
244,loancare bbb,loancare bbb,bbb,bbb,cfpb_complaint,approved_seed,"LoanCare, LLC",cfpb_complaint,approved_seed,85.0,0.85,unknown,needs_review,0,1,2026-06-11T00:20:04Z
243,loancare complaints,loancare complaints,complaints,complaints,cfpb_complaint,approved_seed,"LoanCare, LLC",cfpb_complaint,approved_seed,85.0,0.85,unknown,needs_review,0,1,2026-06-11T00:20:04Z
245,loancare phone number,loancare phone number,phone_number,phone_number,cfpb_complaint,approved_seed,"LoanCare, LLC",cfpb_complaint,approved_seed,85.0,0.85,unknown,needs_review,0,1,2026-06-11T00:20:04Z
242,loancare reviews,loancare reviews,reviews,reviews,cfpb_complaint,approved_seed,"LoanCare, LLC",cfpb_complaint,approved_seed,85.0,0.85,unknown,needs_review,0,1,2026-06-11T00:20:04Z
277,westlake services,westlake services,brand,brand,cfpb_complaint,approved_seed,"Westlake Services, LLC",cfpb_complaint,approved_seed,85.0,0.85,unknown,needs_review,0,1,2026-06-11T00:20:04Z
282,westlake services alternative,westlake services alternative,alternative,alternative,cfpb_complaint,approved_seed,"Westlake Services, LLC",cfpb_complaint,approved_seed,85.0,0.85,unknown,needs_review,0,1,2026-06-11T00:20:04Z
